"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/3/2000","-75","5.77622985839844","884","26.562","14.109","0","1.4250466384355","0.748701501354212",
"1/4/2000","-75","5.77622985839844","884","27.656","14.737","4.906079568","1.02262028093069","0.796602840860106",
"1/5/2000","-75","5.77622985839844","884","25.89","13.669","27.6409224","0.750346712140397","0.907715935935228",
"1/6/2000","-75","5.77622985839844","884","25.885","15.06","1.6016004","0.819503795691589","0.880945676293456",
"1/7/2000","-75","5.77622985839844","884","27.837","15.453","4.119873984","0.949026791450674","0.845244957331121",
"1/8/2000","-75","5.77622985839844","884","26.033","13.082","5.30434404","0.986519714291689","0.87665735023847",
"1/9/2000","-75","5.77622985839844","884","27.882","13.132","2.05993692","0.860766916180066","0.854842899984418",
"1/10/2000","-75","5.77622985839844","884","28.287","14.255","0","1.54081429494433","0.755082482755206",
"1/11/2000","-75","5.77622985839844","884","27.452","15.03","0.406837584","1.37033929435402","0.806355466182938",
"1/12/2000","-75","5.77622985839844","884","28.769","14.366","0.120163104","1.50991006504475","0.752323025239991",
"1/13/2000","-75","5.77622985839844","884","28.342","13.754","0.0686646","1.63576200368844","0.726820111448337",
"1/14/2000","-75","5.77622985839844","884","28.169","13.815","0","1.58547296323038","0.746891407991193",
"1/15/2000","-75","5.77622985839844","884","27.957","12.621","0","1.6446998163523","0.706897372364355",
"1/16/2000","-75","5.77622985839844","884","27.467","15.074","0","1.48926010951371","0.622708043065923",
"1/17/2000","-75","5.77622985839844","884","25.704","15.057","0.6282805824","1.08837845520307","0.70496758803916",
"1/18/2000","-75","5.77622985839844","884","29.067","14.828","0","1.85025636291859","0.6403286100831",
"1/19/2000","-75","5.77622985839844","884","29.112","13.296","0","1.90837288982329","0.555702357392583",
"1/20/2000","-75","5.77622985839844","884","29.128","15.011","0","1.95906616709023","0.542634413777181",
"1/21/2000","-75","5.77622985839844","884","30.637","16.154","1.023101964","1.89716154017901","0.617426608045627",
"1/22/2000","-75","5.77622985839844","884","31.029","15.653","0.28839096","1.72346402902731","0.646976605834254",
"1/23/2000","-75","5.77622985839844","884","31.26","14.396","0","1.7253884420679","0.559822402282342",
"1/24/2000","-75","5.77622985839844","884","29.215","15.043","0","1.84791159062871","0.537658592863539",
"1/25/2000","-75","5.77622985839844","884","31.146","15.266","0","1.97461069331409","0.557479570878042",
"1/26/2000","-75","5.77622985839844","884","27.899","13.638","0.399971016","1.50217670287491","0.761319866931007",
"1/27/2000","-75","5.77622985839844","884","28.483","14.354","0.2437589664","1.16979541906832","0.797193811403663",
"1/28/2000","-75","5.77622985839844","884","27.176","16.402","2.909661192","1.30825050802135","0.859534218175977",
"1/29/2000","-75","5.77622985839844","884","26.84","13.92","0","1.32952233779893","0.799285672600285",
"1/30/2000","-75","5.77622985839844","884","28.949","14.606","0.0583648704","1.05565292061557","0.771014155337194",
"1/31/2000","-75","5.77622985839844","884","29.99","15.65","0","1.58346130790981","0.732534054483296",
