"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity"
"1/3/2000","-76.25","6.08845996856689","2715","21.345","15.334","11.487580092","1.10821998246533","0.957587104613689",
"1/4/2000","-76.25","6.08845996856689","2715","19.537","15.448","15.5937276","1.2263468292238","0.969436462911491",
"1/5/2000","-76.25","6.08845996856689","2715","22.185","13.825","15.7379084712","1.24415342447193","0.942764074347929",
"1/6/2000","-76.25","6.08845996856689","2715","18.543","13.938","14.373201276","1.12605215290264","0.969040377002047",
"1/7/2000","-76.25","6.08845996856689","2715","16.574","13.68","3.5018923392","1.24490894049272","0.980564842606968",
"1/8/2000","-76.25","6.08845996856689","2715","19.397","13.189","7.2235049112","1.61553953693301","0.948190819644983",
"1/9/2000","-76.25","6.08845996856689","2715","18.973","14.011","20.918653596","1.02300655218874","0.970878474653074",
"1/10/2000","-76.25","6.08845996856689","2715","20.531","15.212","18.0793764","1.04224353757472","0.959253251664329",
"1/11/2000","-76.25","6.08845996856689","2715","21.437","15.21","18.700795692","0.838633336355967","0.962467121362398",
"1/12/2000","-76.25","6.08845996856689","2715","24.303","13.947","14.136306984","1.54554072574298","0.936865771205335",
"1/13/2000","-76.25","6.08845996856689","2715","23.803","13.018","6.718825692","1.82362490696247","0.927963673705949",
"1/14/2000","-76.25","6.08845996856689","2715","24.394","13.158","3.44696418","1.8254093692271","0.885190371220073",
"1/15/2000","-76.25","6.08845996856689","2715","24.216","13.558","16.26663024","1.60406611448455","0.880285255853712",
"1/16/2000","-76.25","6.08845996856689","2715","20.551","14.423","15.961068108","1.17961249258925","0.934156570405856",
"1/17/2000","-76.25","6.08845996856689","2715","20.992","15.738","11.08588806","0.654462441318436","0.949595446846147",
"1/18/2000","-76.25","6.08845996856689","2715","23.557","13.881","17.351528652","1.55302157832993","0.910476195874121",
"1/19/2000","-76.25","6.08845996856689","2715","24.113","15.26","14.3594795592","1.35393689795248","0.902314021112598",
"1/20/2000","-76.25","6.08845996856689","2715","23.921","13.666","9.30232836","1.58184757066367","0.895016909371729",
"1/21/2000","-76.25","6.08845996856689","2715","24.753","14.539","18.3403004544","1.79325680212436","0.927547763808053",
"1/22/2000","-76.25","6.08845996856689","2715","26.763","14.892","7.1977579272","1.96329128137727","0.882389995734424",
"1/23/2000","-76.25","6.08845996856689","2715","26.785","14.429","9.8979980976","1.94615708459495","0.882472310137005",
"1/24/2000","-76.25","6.08845996856689","2715","21.849","16.209","12.8282552928","1.19213483949378","0.944279360153978",
"1/25/2000","-76.25","6.08845996856689","2715","20.961","15.68","18.60810012","1.15310036968946","0.971129634371196",
"1/26/2000","-76.25","6.08845996856689","2715","19.225","16.277","43.548768864","0.89006330091196","0.983443227153078",
"1/27/2000","-76.25","6.08845996856689","2715","24.653","13.347","9.5220552096","1.8094996067704","0.922283053960126",
